id,name,latitude,longitude,address,city_name,department,city_code,region,country,power_total_mw,operation_start_year,total_floor_area_sqm,IT_floor_area_sqm,progress_step,operator
192,Digital Reality MRS4,43.296,5.370,Enceinte Portuaire- Porte 4,Marseille,13,13016,"Provence-Alpes-Côte d\,Azur",France,13.600,2022,13400.000,6700.000,operating,Digital Reality
193,DTIX_DATACENTER CHALON-SUR-SAÔNE,46.781,4.845,Avenue Georges Pompidou,Chalon-sur-Saône,71,71100,Bourgogne-Franche-Comté,France,0.871,2024,740.000,350.000,operating,DTIX
194,DTIX_DATACENTER DIJON,47.324,5.039,Rue des Godrans 48,Dijon,21,21000,Bourgogne-Franche-Comté,France,2.709,2020,2301.000,450.000,operating,DTIX
195,EOLAS LYON (OBS/Orange),45.758,4.832,13 Quai du Dr Gailleton,Lyon,69,69002,Auvergne-Rhône-Alpes,France,3.000,,2000.000,1000.000,operating,Eolas
196,EOLAS MANGIN_1,45.169,5.715,73 rue Général Mangin,Grenoble,38,38100,Auvergne-Rhône-Alpes,France,0.717,,609.000,450.000,operating,Eolas
197,EOLAS MANGIN_2,45.169,5.715,73 rue Général Mangin,Grenoble,38,38100,Auvergne-Rhône-Alpes,France,0.757,2022,643.000,3215.000,operating,Eolas
198,EQUINIX BX1,44.896,-0.612,39 Rue de Strasbourg,Bruges,33,33520,Nouvelle-Aquitaine,France,20.000,2021,4572.000,2286.000,operating,"Equinix, Inc"
199,"ETIX_EVERYWHERE LILLE_#1",50.700,3.160,101 Boulevard Constantin Descat,Roubaix,59,59100,Hauts-de-France,France,0.600,2018,675.000,337.000,operating,Etix Everywhere
200,"ETIX_EVERYWHERE LILLE_#2",50.584,3.137,1681 Rue des Saules,Sainghin-en-Mélantois,59,59262,Hauts-de-France,France,1.500,2010,1872.000,936.000,operating,Etix Everywhere
201,"ETIX_EVERYWHERE LILLE_#3",50.378,3.522,486 Av. Augusta Ada-King,Anzin,59,59410,Hauts-de-France,France,1.860,2016,1751.000,8755.000,operating,Etix Everywhere
202,ETIX_EVERYWHERE MPL1,43.585,3.872,143 Rue Emile Julien,Montpellier,34,34070,Occitanie,France,1.500,2008,374.000,187.000,operating,Etix Everywhere
203,"ETIX_EVERYWHERE NANTES_#1",47.231,-1.631,2 Impasse Joséphine Baker,Saint-Herblain,44,44800,Pays de la Loire,France,0.350,2011,400.000,200.000,operating,Etix Everywhere
204,"ETIX_EVERYWHERE NANTES_#2",47.277,-1.470,14 Rue Véga,Carquefou,44,44470,Pays de la Loire,France,0.900,2014,1733.000,8665.000,operating,Etix Everywhere
205,"ETIX_EVERYWHERE NANTES_#3",47.239,-1.668,1 rue des Forgerons,Couëron,44,44220,Pays de la Loire,France,1.200,,2505.000,12525.000,operating,Etix Everywhere
206,ETIX_EVERYWHERE TLS1,43.625,1.487,10 Rue des Freres Peugeot,Balma,31,31130,Occitanie,France,1.500,2011,766.000,383.000,operating,Etix Everywhere
207,"ETIX_EVERYWHERE VENDÉE_#1",46.666,-1.353,4 Imp. Philippe Gozola,La Roche-sur-Yon,85,85000,Pays de la Loire,France,0.270,2014,416.000,208.000,operating,Etix Everywhere
208,EUCLYDE DC1,43.605,7.076,49- rue Emile Hugues,Antibes,66,6600,"Provence-Alpes-Côte d\,Azur",France,8.500,2009,3500.000,1500.000,operating,Euclyde Data Centers
209,EUCLYDE DC2,47.226,5.973,2- rue Albert Einstein,Besançon,25,25000,Bourgogne-Franche-Comté,France,0.700,2012,650.000,345.000,operating,Euclyde Data Centers
210,EUCLYDE DC3,43.624,7.038,930- route des Dolines,Valbonne,65,6560,"Provence-Alpes-Côte d\,Azur",France,2.000,2013,3000.000,620.000,operating,Euclyde Data Centers
211,EUCLYDE DC5,45.771,4.889,45-47 rue Francis de Pressensé,Villeurbanne,69,69100,Auvergne-Rhône-Alpes,France,3.000,2018,1200.000,600.000,operating,Euclyde Data Centers
212,EUCLYDE DC7,48.602,7.784,Rue du Parc 5,Strasbourg,67,67000,Grand Est,France,0.800,2021,1500.000,720.000,operating,Euclyde Data Centers
